ID,Fattening_group.Pen,t (day),Wt (kg),FIt (kg day-1)
4,202001-68,19,55.5,1.892
4,202001-68,20,56.25,1.95
4,202001-68,21,58,1.912
4,202001-68,22,58,1.562
4,202001-68,23,58.25,1.675
4,202001-68,24,58.5,1.742
4,202001-68,25,60.5,1.764
4,202001-68,26,61,1.748
4,202001-68,27,62.5,2.188
4,202001-68,28,63.5,1.856
4,202001-68,29,64,1.663
4,202001-68,30,65.5,1.935
4,202001-68,31,66.5,1.954
4,202001-68,32,67,2.008
4,202001-68,33,68.25,2.188
4,202001-68,34,69.5,1.885
4,202001-68,35,70.5,2.154
4,202001-68,36,71.5,2.42
4,202001-68,37,72.5,1.568
4,202001-68,38,72.5,2.444
4,202001-68,39,73.5,1.572
4,202001-68,40,74.5,2.338
4,202001-68,41,76.5,1.748
4,202001-68,42,77.5,2.111
4,202001-68,43,79,2.479
4,202001-68,44,80,1.955
4,202001-68,45,81,2.125
4,202001-68,46,81.75,2.208
4,202001-68,47,81,2.186
4,202001-68,48,82,1.991
4,202001-68,49,84,2.627
4,202001-68,50,85.5,1.87
4,202001-68,51,86.375,2.116
4,202001-68,52,86.5,2.665
4,202001-68,53,82.5,2.04
4,202001-68,54,84.125,3.012
4,202001-68,55,85.25,1.597
4,202001-68,56,86,2.218
4,202001-68,57,86,2.032
4,202001-68,58,86.5,2.036
4,202001-68,59,87.5,1.518
4,202001-68,60,88.25,2.373
4,202001-68,61,90,1.614
4,202001-68,62,90.75,2.398
4,202001-68,63,92,2.149
4,202001-68,64,93.5,1.923
4,202001-68,65,95,2.677
4,202001-68,66,95.5,2.31
4,202001-68,67,97,2.435
4,202001-68,68,98.25,2.105
4,202001-68,69,98.5,2.391
4,202001-68,70,101,2.492
4,202001-68,71,102.5,1.878
4,202001-68,72,102.25,2.898
4,202001-68,73,103,1.998
4,202001-68,74,103.25,2.333
4,202001-68,75,104.75,2.007
4,202001-68,76,104.5,2.277
74,202001-69,1,60.29,1.038
74,202001-69,2,61.246,1.564
74,202001-69,3,62.203,1.464
74,202001-69,4,63.159,1.524
74,202001-69,5,64.115,1.847
74,202001-69,6,65.071,1.642
74,202001-69,7,66,1.829
74,202001-69,8,67,1.569
74,202001-69,9,67.75,1.796
74,202001-69,10,69,1.863
74,202001-69,11,69.5,1.817
74,202001-69,12,71,2.041
74,202001-69,13,72.25,1.824
74,202001-69,14,73,2.221
74,202001-69,15,73,2.084
74,202001-69,16,74.5,1.972
74,202001-69,17,75,2.189
74,202001-69,18,76.5,1.879
74,202001-69,19,77,1.737
74,202001-69,20,78,2.244
74,202001-69,21,79,1.891
74,202001-69,22,80,2.236
74,202001-69,23,80.5,2.21
74,202001-69,24,81,2.265
74,202001-69,25,82,2.255
74,202001-69,26,83.5,2.274
74,202001-69,27,83.5,1.827
74,202001-69,28,85,2.331
74,202001-69,29,86.5,2.702
74,202001-69,30,87.5,2.594
74,202001-69,31,89.5,2.492
74,202001-69,32,90,2.844
74,202001-69,33,90.5,2.588
74,202001-69,34,93,2.743
74,202001-69,35,93,2.383
74,202001-69,36,93.25,2.314
74,202001-69,37,94.5,2.646
74,202001-69,38,95.5,2.331
74,202001-69,39,97,2.606
74,202001-69,40,98.5,2.935
74,202001-69,41,99.5,2.361
74,202001-69,42,100,2.968
74,202001-69,43,102,2.903
74,202001-69,44,102.25,3.282
74,202001-69,45,103,2.214
74,202001-69,46,104.5,2.989
74,202001-69,47,105.75,2.599
74,202001-69,48,106,2.806
74,202001-69,49,108,2.536
74,202001-69,50,108,2.688
74,202001-69,51,108.5,2.683
74,202001-69,52,109.5,2.794
74,202001-69,53,109.75,3.08
74,202001-69,54,111.5,2.687
74,202001-69,55,112.5,2.683
74,202001-69,56,113.25,3.124
74,202001-69,57,114,2.513
74,202001-69,58,115,2.322
74,202001-69,59,115.75,2.641
74,202001-69,60,118,2.795
74,202001-69,61,119,2.894
74,202001-69,62,120.75,2.918
74,202001-69,63,120,3.239
74,202001-69,64,120.75,2.934
74,202001-69,65,122.5,2.85
74,202001-69,66,122.75,3.009
74,202001-69,67,124,3.293
74,202001-69,68,124.5,3.186
74,202001-69,69,126.5,2.97
74,202001-69,70,126.25,2.704
74,202001-69,71,127.25,3.344
74,202001-69,72,128,2.816
74,202001-69,73,128.75,2.317
74,202001-69,74,129,3.01
74,202001-69,75,129.5,2.553
74,202001-69,76,130.75,3.05
3,202004-93,1,44.5,1.203
3,202004-93,2,47.5,2.11
3,202004-93,3,47.5,1.884
3,202004-93,4,49,2.285
3,202004-93,5,50.75,2.589
3,202004-93,6,52,1.916
3,202004-93,7,53,1.7
3,202004-93,8,54,2.545
3,202004-93,9,55.5,2.228
3,202004-93,10,56.5,2.326
3,202004-93,11,57,2.31
3,202004-93,12,58.5,2.738
3,202004-93,13,60,2.135
3,202004-93,14,60.5,2.704
3,202004-93,15,61,2.254
3,202004-93,16,62.5,2.224
3,202004-93,17,64,2.293
3,202004-93,18,64.75,2.634
3,202004-93,19,66.5,2.529
3,202004-93,20,67,2.234
3,202004-93,21,68.75,2.815
3,202004-93,22,69.5,2.456
3,202004-93,23,70.75,2.54
3,202004-93,24,71,2.672
3,202004-93,25,72.25,2.467
3,202004-93,26,73.165,1.626
3,202004-93,27,74.5,3.324
3,202004-93,28,74.5,2.017
3,202004-93,29,76.25,2.585
3,202004-93,30,76,2.542
3,202004-93,31,78,2.108
3,202004-93,32,79.5,2.771
3,202004-93,33,80.5,2.082
3,202004-93,34,82.5,2.86
3,202004-93,35,83.5,1.914
3,202004-93,36,84,3.495
3,202004-93,37,86,1.792
3,202004-93,38,85.5,2.857
3,202004-93,39,87.5,2.528
3,202004-93,40,88.341,1.889
3,202004-93,41,89,2.588
3,202004-93,42,90.5,2.886
3,202004-93,43,91.523,2.168
3,202004-93,44,92.25,2.696
3,202004-93,45,94,2.554
3,202004-93,46,95,2.566
3,202004-93,47,95.5,2.95
3,202004-93,48,97,2.632
3,202004-93,49,99,2.641
3,202004-93,50,98.128,1.672
3,202004-93,51,98.75,1.685
3,202004-93,52,98.5,1.69
3,202004-93,53,99.75,3.314
3,202004-93,54,101,2.405
3,202004-93,55,103.5,2.799
3,202004-93,56,102.75,2.366
3,202004-93,57,103.5,2.083
3,202004-93,58,103.5,1.73
3,202004-93,59,104.648,1.998
3,202004-93,60,104.5,2.55
3,202004-93,61,106.5,2.863
3,202004-93,62,108,1.686
3,202004-93,63,107.25,2.898
3,202004-93,64,107,1.629
3,202004-93,65,106.875,2.133
3,202004-93,66,107.5,1.197
3,202004-93,67,107.5,1.394
3,202004-93,68,108,2.127
3,202004-93,69,108.5,1.051
3,202004-93,70,108.5,1.582
3,202004-93,71,109,1.584
3,202004-93,72,110.5,1.598
3,202004-93,73,110.527,1.667
3,202004-93,74,111.024,1.687
3,202004-93,75,111.521,1.707
3,202004-93,76,112.75,1.788
3,202004-93,77,112,1.903
100,202004-93,1,35,0.904
100,202004-93,2,41.75,1.014
100,202004-93,3,38.5,1.228
100,202004-93,4,39,1.403
100,202004-93,5,40.5,1.817
100,202004-93,6,41.5,1.572
100,202004-93,7,42.5,1.71
100,202004-93,8,43.5,1.613
100,202004-93,9,44,1.736
100,202004-93,10,44.25,1.782
100,202004-93,11,45.5,1.883
100,202004-93,12,46,1.721
100,202004-93,13,47.5,1.843
100,202004-93,14,48.5,1.723
100,202004-93,15,48.5,1.416
100,202004-93,16,49,1.718
100,202004-93,17,50.5,1.668
100,202004-93,18,51,1.739
100,202004-93,19,52,1.623
100,202004-93,20,53,2.155
100,202004-93,21,54.5,1.896
100,202004-93,22,55.5,2.202
100,202004-93,23,56,1.834
100,202004-93,24,57,1.973
100,202004-93,25,58,1.778
100,202004-93,26,58.75,1.951
100,202004-93,27,60,2.02
100,202004-93,28,61.5,2.122
100,202004-93,29,61.5,1.741
100,202004-93,30,63,2.531
100,202004-93,31,64,2.26
100,202004-93,32,65.265,0.49
100,202004-93,33,66.5,1.433
100,202004-93,34,68.25,2.119
100,202004-93,35,68.5,2.09
100,202004-93,36,69,1.998
100,202004-93,37,70.5,2.58
100,202004-93,38,70.5,2.425
100,202004-93,39,72,2.074
100,202004-93,40,73.5,2.389
100,202004-93,41,75,2.235
100,202004-93,42,76,2.425
100,202004-93,43,76.75,2.286
100,202004-93,44,78.5,2.501
100,202004-93,45,79.25,2.296
100,202004-93,46,80,2.166
100,202004-93,47,81,2.571
100,202004-93,48,82,2.469
100,202004-93,49,84,2.425
100,202004-93,50,84.25,2.473
100,202004-93,51,86,2.503
100,202004-93,52,86.5,2.75
100,202004-93,53,88.25,2.647
100,202004-93,54,88.5,1.675
100,202004-93,55,90,3.307
100,202004-93,56,91,2.364
100,202004-93,57,91,1.815
100,202004-93,58,92.25,2.735
100,202004-93,59,93.5,2.272
100,202004-93,60,94.5,2.013
100,202004-93,61,94.25,2.775
100,202004-93,62,95.5,2.942
100,202004-93,63,97.25,1.744
100,202004-93,64,100.5,3.813
100,202004-93,65,99.5,2.547
100,202004-93,66,100.75,2.295
100,202004-93,67,100.75,2.356
100,202004-93,68,102.5,3.11
100,202004-93,69,104.5,3.027
100,202004-93,70,104.625,2.478
100,202004-93,71,105,2.5
100,202004-93,72,107.5,2.449
100,202004-93,73,107.871,2.658
100,202004-93,74,108.908,2.664
100,202004-93,75,109.946,2.67
100,202004-93,76,111,2.566
100,202004-93,77,112,2.79
46,202004-93,1,28.5,0.533
46,202004-93,2,29,1.216
46,202004-93,3,29,1.275
46,202004-93,4,30,1.27
46,202004-93,5,30.5,1.482
46,202004-93,6,31.5,1.508
46,202004-93,7,32.25,1.373
46,202004-93,8,33,1.394
46,202004-93,9,33.5,1.625
46,202004-93,10,34,1.708
46,202004-93,11,35,1.421
46,202004-93,12,36,1.625
46,202004-93,13,37,1.655
46,202004-93,14,38,1.802
46,202004-93,15,38.5,1.621
46,202004-93,16,39,1.759
46,202004-93,17,39.25,1.693
46,202004-93,18,41,2.002
46,202004-93,19,42,1.838
46,202004-93,20,42.5,1.703
46,202004-93,21,43.5,1.594
46,202004-93,22,44.5,1.771
46,202004-93,23,45.5,1.981
46,202004-93,24,46.5,1.908
46,202004-93,25,47,1.865
46,202004-93,26,48,2.179
46,202004-93,27,48.5,1.848
46,202004-93,28,49.75,2.073
46,202004-93,29,51,2.224
46,202004-93,30,51.5,2.228
46,202004-93,31,52.75,2.165
46,202004-93,32,53.5,2.189
46,202004-93,33,54.5,2.233
46,202004-93,34,55.75,1.952
46,202004-93,35,57,2.426
46,202004-93,36,58.5,2.238
46,202004-93,37,58.5,2.091
46,202004-93,38,59,2.187
46,202004-93,39,60.5,2.077
46,202004-93,40,61.5,2.284
46,202004-93,41,62.75,2.097
46,202004-93,42,64,2.146
46,202004-93,43,65.5,2.647
46,202004-93,44,66,2.269
46,202004-93,45,67,2.324
46,202004-93,46,68.5,2.071
46,202004-93,47,68,2.246
46,202004-93,48,70,2.696
46,202004-93,49,71,1.993
46,202004-93,50,72,2.558
46,202004-93,51,72.5,2.241
46,202004-93,52,74,2.668
46,202004-93,53,75,2.125
46,202004-93,54,75,2.507
46,202004-93,55,76,2.459
46,202004-93,56,76.5,2.367
46,202004-93,57,77.5,1.797
46,202004-93,58,78.25,2.31
46,202004-93,59,79.75,1.99
46,202004-93,60,80,3.115
46,202004-93,61,82,2.505
46,202004-93,62,83.75,3.226
46,202004-93,63,84,2.755
46,202004-93,64,84.5,2.551
46,202004-93,65,85,3.061
46,202004-93,66,85.75,3.024
46,202004-93,67,86.75,2.949
46,202004-93,68,88.5,3.104
46,202004-93,69,90,3.1
46,202004-93,70,89,2.796
46,202004-93,71,91,2.855
46,202004-93,72,93,2.761
46,202004-93,73,92.858,2.871
46,202004-93,74,93.783,2.862
46,202004-93,75,94.709,2.852
46,202004-93,76,95.5,2.737
46,202004-93,77,96.25,2.812
92,202004-93,1,28.5,1.002
92,202004-93,2,28.75,1.642
92,202004-93,3,30.5,1.077
92,202004-93,4,31,1.247
92,202004-93,5,31.5,1.469
92,202004-93,6,33.25,1.453
92,202004-93,7,33.5,1.346
92,202004-93,8,33.75,1.703
92,202004-93,9,35,1.928
92,202004-93,10,36,1.721
92,202004-93,11,37,1.718
92,202004-93,12,37.5,1.831
92,202004-93,13,38,1.826
92,202004-93,14,39.5,1.631
92,202004-93,15,40,1.795
92,202004-93,16,40.25,1.859
92,202004-93,17,42,1.798
92,202004-93,18,43,1.905
92,202004-93,19,44,1.955
92,202004-93,20,45,2.222
92,202004-93,21,45,1.909
92,202004-93,22,45.5,1.685
92,202004-93,23,47,2.216
